trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.5680000000000012, 'e': 0.08724805590839901}",25,0,21.808445368530634,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.5669000000000012, 'e': 0.08590000184002045}",25,18,-9.81053470176125,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.5658000000000012, 'e': 0.0845794215782618}",20,3,24.094848898521647,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5647000000000012, 'e': 0.08328568682295258}",20,9,19.940852471659493,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5636000000000012, 'e': 0.08201818518846654}",20,11,15.678298020154397,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5625000000000012, 'e': 0.08077631976928555}",25,16,6.43695561673325,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5614000000000012, 'e': 0.07955950871822723}",20,0,21.45112314964252,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.5603000000000012, 'e': 0.07836718483694696}",25,13,-2.93439228849956,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.5592000000000013, 'e': 0.07719879517833549}",25,0,31.747152220714003,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.5581000000000013, 'e': 0.07605380066044881}",25,14,23.266458056240417,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5570000000000013, 'e': 0.07493167569161492}",25,7,25.01801286991417,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5559000000000013, 'e': 0.07383190780637654}",25,15,7.078753766883898,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5548000000000013, 'e': 0.07275399731193843}",25,17,17.45446642976148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5537000000000013, 'e': 0.0716974569447987}",25,14,15.256187870479962,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5526000000000013, 'e': 0.07066181153725408}",25,9,22.86139091191756,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5515000000000013, 'e': 0.06964659769347911}",25,4,28.66890359298268,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
